user_id,B07TDSJZMR,B08637FWWF,B07KJVGNN5,B007HY7GC2,B08KYJLF5T,B09GBMG83Z,B09FKT5PQ9,B08THJD1MH,B08FCQML37,B08GYM3HVP
AFKZENTNBQ7A7V7UXW5JJI6UGRYQ,4,,3,,,4,,,,
AEVWAM3YWN5URJVJIZZ6XPD2MKIA,,5,1,,,2,,,,
AHSPLDNW5OOUK2PLH7GXLACFBZNQ,,,5,,,4,,,,
AEZGPLOYTSAPR3DHZKKXEFPAXUAA,,,4,4,,5,,,,
AEQAYV7RXZEBXMQIQPL6KCT2CFWQ,,,1,,1,2,,,,
AFSKPY37N3C43SOI5IEXEK5JSIYA,,,,,,5,4,4,5,3
AHGAOIZVODNHYMNCBV4DECZH42UQ,,,5,,,6,,,,
AGC3Q6IXOVLTTDMS4Q55FPYUF6FQ,,,3,,,,,,,
AHY7ZJB523OPTIKXRI63PS2V6FSQ,,,2,,,3,,,,
AFZUK3MTBIBEDQOPAK3OATUOUKLA,,2,4,,,2,,,,
AEDRFOIY6IFY7DWSPRRNGEFIFE2Q,,,5,,,2,,,,
AFKNVFEXRGUGJAGMENCOWLVDYVCQ,,,2,,,1,,,,
AGYWDTDUSHHZEHTF456VJTOVOKYA,,,4,,,3,,,,
AFXDYTFXJLX4YG3UD7W23W7Z5Y4A,,3,,,5,5,,,1,
AFWTME2ROGUQI5J5FB3DWCLKZNBA,,,3,,,4,,,,
AG6SNHIVEFMJIXCLZWKTGEOV5ZBQ,,,2,,,5,,,2,
AHKIMFUXMLOUN7SBXHEDD2K2AN7Q,,,5,,,5,,,,
AEZSZS7UV44CAJJR5FNEM4DZCWTQ,,,4,,,2,,,,
AGVVUU3QRQBHNASSGI5YQLPYOI2Q,,,4,,,2,,,,
AFAIJYOUO3NAWLBDIKTQSC3DASWA,,,1,,,,,,,
AFPBVAEV3FCQOHKJJGAKQLZLTCZQ,,,1,,,5,,,,
AHY55PORR7VYL72JBUYNSO6KCA5A,,,3,,,2,,,,
AFFZVSTUS3U2ZD22A2NPZSKOCPGQ,,,4,,,4,,,,
AHSAUHUTLVNKJ72GUIPGI5XZH6ZA,,,2,,,2,,,,
AHE2H77LQCUDXIXFI46LFDCVKJNQ,,,5,,,5,,,,
AH4CGRSYSW5CWLRGQYRZKNJBUPAA,,,5,,,5,,,,
AHATA6X6MYTC3VNBFJ3WIYVK257A,,,5,,,4,,,,
AFA26DYXVLJYTYZ3KET77GE27N2A,,,3,,,2,,,,
AHV6QCNBJNSGLATP56JAWJ3C4G2A,,,2,,,5,,,,
AEMJ2EG5ODOCYUTI54NBXZHDJGSQ,2,4,1,3,4,5,,5,,
AEPQUIWJI7FYDURUJIDWLMPBU2KA,,,2,,,,,,,
AG7WKTZINOFIXMZJYIPKIB7PV7NQ,,,3,,,2,,,,
AEHWUHNTB5FX32HJ7UBOZ2WWUX3Q,,,4,,,5,,,,
AG2UEDPK43QC5AU6HZTCBANPW2FQ,,,3,,,1,,1,,
AHIL63TZRABKLCVM22CGMMKZDRXQ,,,2,,,,,,,
AG4RDNEXBUS7SKHLYCZHG2Z4FZ5Q,,,5,,,4,,,,
AF2T7NQ5S7SVEBHC7VGY23KZGQDA,,,3,,,3,,,,
AHB5CGLYN3Y6NIPHNQLYFJT2W2PQ,,,1,,,5,,,,
AFUB7CHTXRPD447QVQCHBZVN2IPQ,,,1,,,3,,,,
AGWGMDSRIXUSGG3AVYX65RVPWCLQ,,,2,,,,,,,
AFJBKPK5W56XWSNPQU2WW66ISWYQ,,,4,,,2,,,,
AHBI5SLZDP3Q3LZPETJLCHQFGLUA,,,3,,,5,,,,
AENR7RAJSAIV6E2UE6AZ7BUEIOIQ,,,5,,,2,,,,
AGV4WWE4CB7LRPPV6PG7RCEFBT3A,,,2,,,,,,,
AG5RLYHH277YN5CG5UIMLHMG4XWQ,,,1,,,3,,,,
AFDMZ4TRX3HXQQUGWAHJQTIF65BQ,,,5,,,5,,,,
AF7J5A2ME55LSCRVQWXB3BKE7CHQ,,,3,,,,,,,
AFZK2BA7HVTZTYYVBQ6YYL5XPWLA,,,,,,5,,,,
AETE7Y3DZT6BLMWA6U27ADJDZ4LA,5,1,4,2,2,5,3,5,,
AFLKLHWWA6JE5LBMJ7E7XMRVN7UA,,,2,,,1,,,,
AHOT2ODB3FZ72IU5KMHHFPB6SNNA,,,,,,4,,,,
AEINWALDRYT4NTF3M5NC2WZ5YQNA,,,3,,,1,,,,
AFKQ7HTHC5LYV6PPR7ZXD7QBIZXQ,,,5,,,1,,,,
AFVTVAR5V6XKWMVHARHZXRCOSHIQ,,,2,,,4,,,,
AGQSSZPF5DTU56OIYEZVVKTMKJIQ,,,2,,,,,,,
AEWFEWBJVI2YN7WAWVXSOYT5MANA,,,1,,,5,,,,
AHRQPBQJJ2PJET5WBJIKNLAFHHSA,,,4,,,4,,,,
AHJQPUQLSQZE6LMIUMY7WNRXCQQQ,,,5,,,4,,,,
AG535JFIAGQV4CY7TREDVYPDNGKA,,,4,,5,1,,,,
AHMXJDRWRZ2OGHXU4SQDFS6KIBZA,,5,5,,,5,,,,
AHOEABHRAFWXIT4JZ5MKJ3FMASGA,,,2,,,2,,,,
AGUWL2R2JFLC3K65HLD6AHJV3KBA,,,1,,,1,,,,
AEYGPUCRKH7G4VM22FM3VAKSQ23Q,,,3,,,3,,,,
AFCYUFW3NQ37UQXYVWL3LN4LAKLQ,,2,3,,4,4,,,,
AF4NIQPIZQ3S3G6KEVQW33DNHZSQ,,,4,,,,,,,
AHU2Y2ZFQKI3V3ARFDKZA6ER4NUQ,,,1,,,2,,,,
AHBZRDFYB2FWUAO63DCSF2VSTJ2Q,,,4,,,2,,,,
AFXF3EGQTQDXMRLDWFU7UBFQZB7Q,,,3,,,5,,2,,
AHHFW36BP4VMQWC6V2NTKIXFAA2A,,,2,,5,3,,,,
AFA2U2ZWVRYX3ACXTUL7DU3ZUGLQ,,,1,,,3,,,,
AHEJ5LC7BSEADCIZQQQPZPVWOLCA,,,2,,,5,,,,
AEIPJBAN7A55Q5DFFPZSR2UV3OKA,,,1,,,4,,,,
AHZOJQDTMJ6WIHY2RV7PB6K5TG7Q,,,3,,,5,,,,
AG3VXRJ5OUQDF3UAEOEIIZ6Z5Z3A,,,1,,5,2,,,,
AHPQ4CPYDRMHILUHA4WJOQ7ANKQQ,,,4,,,4,,,,
AETAH6GK4TSOTHIVPBFPYZMIQRRA,,,5,,,1,,,,
AEHOUKDUSHPOEDHAISNAVI7ANZHA,,,2,,,4,,,,
AHPFHP43AXWRYZZ4HPNCW7I7J3ZQ,,5,3,,,3,,,,
AELHB5QYXVSXZM263JIARJBWPOSA,,,1,,,3,5,,,
AF34HQQ3RZOFQDNN6TBKW523Z33A,,,2,,,4,,,,
AFUZHS2CHLPSFORO3LDM5VMVK3ZA,,,3,,,5,,,,
AEKGBJHGLLCKCRL3KMFZ4JUKVNSQ,5,,2,,,1,,,,
AHVWKBFOVXQV6653O4XGCKOB6YVA,,,4,,,1,,5,,
AEICZD35OTDYVWA2KPYWN4PDZ2SA,,,5,,,4,,,,
AHI6KSEBLTLT2BWU4VXQ5UIO6XXQ,,,5,,,4,,,,
AHYPJP7HKAXKK2QZG3MRPVNHUQGQ,,,5,,,3,,,,
AG4COLOHCLHWUUYWCZ77TPJLE3EQ,,5,3,,2,5,,,,
AER5A2LR25ZV3SYFCYUWBRGRKBBA,,,5,,,2,,,,
AGLQQCIS5V6EGUCS5SSNHWZHQM6Q,,,3,,,2,,,,
AGBOGNMAG3UCA6B4Z6VT62DVNOIA,4,,5,,5,5,,,,
AFD6OGB6AY4YPKN62LCTXGYR7KJA,,,5,,,2,,2,,
AFWVN52MRBWOTIK7UGXBWGOY4HBA,,,1,4,,,,,,4
AGYPMYXECLNQ2I5WWFQ52COBAFHA,,,2,,5,3,,,,
AFQQQ5LGNSQUEBGDCYBAZZE5T3DA,,,1,,,5,,,,
AE3TASYGLHHRHUJUDFTKFDMWFIYA,5,,4,,,5,,,,
AEKLWIFD6GVHWJKIC4QDCDYRNYKQ,,,5,,,3,,,,
AG3ZLSFL6WEHCXA2SETWSPPDGTVQ,,,2,,,2,,3,,
AFLX66DKF6R3H6OEOC3TIVAYXZIQ,,,5,,,5,,,,
AFQ7WYW4KSH4VI5OVXCP2GV6PBRA,,,3,,,4,,,,
AETGCWXC47MSMK6B2TLZ44KCFJZQ,,,1,,,1,,,,
